genre,filename,tempo,duration_sec,instruments
pop,Animals.mid,96.0,239.06,9
pop,CantStop.mid,154.0,157.4,12
pop,DoinDirt.mid,125.0,210.36,13
pop,GettingJiggyWitIt.mid,113.0,249.4,6
pop,JustTheTwoOfUs.mid,120.0,158.18,3
pop,Lost.mid,122.75,268.4,8
pop,NeverGonnaLeaveThisBed.mid,118.0,195.25,7
pop,Payphone.mid,110.0,214.9,8
pop,Pricetag.mid,87.5,208.46,8
pop,Sad.mid,116.0,184.09,3
pop,Sugar.mid,120.0,234.0,8
pop,SummerTime.mid,101.0,207.97,8
pop,SundayMorning.mid,131.33,256.79,10
pop,Switch.mid,111.25,203.42,14
pop,WontGoHomeWithoutYou.mid,110.0,236.71,14
pop,YouYouYou.mid,96.0,183.62,12
rap,99Problems.mid,93.0,42.58,2
rap,DimmiPerch.mid,114.0,221.05,9
rap,DooWopThatThing.mid,101.0,239.7,15
rap,EmpireStateofMind.mid,87.0,278.62,13
rap,NordSudOvestEst.mid,121.0,271.98,10
rap,Renagade.mid,50.1,290.94,7
rap,RockWithYou.mid,96.01,44.99,7
rap,RottaXCasaDiDio.mid,121.0,249.79,12
rap,RunThisTown.mid,90.0,245.33,3
rap,SeiUnMito.mid,122.0,299.26,8
rap,ShortDickMan.mid,128.0,189.44,11
rap,Tuttociocheho.mid,89.0,256.1,14
rap,UnaCanzoneDamore.mid,61.5,338.64,12
rock,ARoseintheWind.mid,79.0,274.94,17
rock,ASongWithinASong.mid,94.55,413.93,13
rock,Believer.mid,125.0,206.53,16
rock,CheckYourHead.mid,120.0,268.0,7
rock,ComingUpEasy.mid,114.61,254.61,12
rock,Demons.mid,90.0,175.9,2
rock,DontCry.mid,146.0,215.32,19
rock,ForTheMovies.mid,76.0,265.26,12
rock,HeatOfTheMoment.mid,132.0,231.99,21
rock,HopelessAnger.mid,135.33,289.11,31
rock,KungFoo.mid,180.0,120.0,5
rock,OneMoment.mid,100.0,213.93,7
rock,Radioactive.mid,121.77,183.37,2
rock,SnowontheSahara.mid,87.0,259.14,15
rock,WalkingtheWire.mid,100.0,237.6,13
